INFO :[2021-06-02 00:00:06,999] ContextLoader.java:306 - Root WebApplicationContext initialized in 14055 ms
INFO :[2021-06-02 00:00:07,379] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 00:00:23,112] FrameworkServlet.java:546 - Completed initialization in 15732 ms
INFO :[2021-06-02 00:05:35,133] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-02 00:05:48,870] ContextLoader.java:306 - Root WebApplicationContext initialized in 13719 ms
INFO :[2021-06-02 00:05:49,235] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 00:06:04,373] FrameworkServlet.java:546 - Completed initialization in 15136 ms
INFO :[2021-06-02 00:33:42,014] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-02 00:33:58,240] ContextLoader.java:306 - Root WebApplicationContext initialized in 16201 ms
INFO :[2021-06-02 00:33:58,674] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 00:34:20,232] FrameworkServlet.java:546 - Completed initialization in 21558 ms
DEBUG:[2021-06-02 00:35:12,970] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 00:35:12,974] LoggerInterceptor.java:21 - /spring/
DEBUG:[2021-06-02 00:35:12,977] LoggerInterceptor.java:22 - --------------------------------------------
INFO :[2021-06-02 00:35:13,098] HomeController.java:25 - index 페이지 요청!
DEBUG:[2021-06-02 00:35:13,158] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 00:35:13,183] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="forward:/index.jsp"; model={}]
DEBUG:[2021-06-02 00:35:20,690] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 00:35:20,691] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 00:35:21,023] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 00:35:21,024] LoggerInterceptor.java:21 - /spring/resources/css/style.css
DEBUG:[2021-06-02 00:35:21,025] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 00:35:21,262] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 00:35:21,262] LoggerInterceptor.java:21 - /spring/resources/images/logo-spring.png
DEBUG:[2021-06-02 00:35:21,263] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 00:35:21,322] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 00:35:21,323] LoggerInterceptor.java:36 - modelAndView = null
DEBUG:[2021-06-02 00:35:21,330] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 00:35:21,331] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 00:35:21,333] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 00:35:21,333] LoggerInterceptor.java:36 - modelAndView = null
DEBUG:[2021-06-02 00:35:21,334] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 00:35:21,334] LoggerInterceptor.java:47 - ____________________end_____________________
INFO :[2021-06-02 19:15:55,596] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-02 19:16:10,031] ContextLoader.java:306 - Root WebApplicationContext initialized in 14416 ms
INFO :[2021-06-02 19:16:10,428] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-02 19:16:25,642] FrameworkServlet.java:546 - Completed initialization in 15213 ms
DEBUG:[2021-06-02 19:16:26,095] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:16:26,097] LoggerInterceptor.java:21 - /spring/
DEBUG:[2021-06-02 19:16:26,098] LoggerInterceptor.java:22 - --------------------------------------------
INFO :[2021-06-02 19:16:26,213] HomeController.java:25 - index 페이지 요청!
DEBUG:[2021-06-02 19:16:26,272] LoggerInterceptor.java:35 - --------------------------------------------
DEBUG:[2021-06-02 19:16:26,292] LoggerInterceptor.java:36 - modelAndView = ModelAndView [view="forward:/index.jsp"; model={}]
DEBUG:[2021-06-02 19:16:30,510] LoggerInterceptor.java:45 - -------------------view---------------------
DEBUG:[2021-06-02 19:16:30,513] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-02 19:16:30,778] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:16:30,779] LoggerInterceptor.java:21 - /spring/resources/css/style.css
DEBUG:[2021-06-02 19:16:30,779] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:16:30,893] LoggerInterceptor.java:20 - ================== start ===================
DEBUG:[2021-06-02 19:16:30,895] LoggerInterceptor.java:21 - /spring/resources/images/logo-spring.png
DEBUG:[2021-06-02 19:16:30,895] LoggerInterceptor.java:22 - --------------------------------------------
DEBUG:[2021-06-02 19:16:30,912] LoggerInterceptor.java:35 - --------------------------------------------
